customer_id,age,gender,country,tenure_months,monthly_charges,total_charges,contract_type,payment_method,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,num_service_calls,days_since_last_interaction,churn
CUST_000001,52,Male,Germany,41,94.48,4063.45,Two year,Credit card,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,1,0,Yes
CUST_000002,42,Female,USA,2,96.22,250.52,Two year,Electronic check,Yes,No,No,No,No,Yes,No,No,No,3,51,Yes
CUST_000003,54,Male,USA,31,32.46,1013.44,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,1,7,No
CUST_000004,67,Female,USA,3,75.7,70.62,Month-to-month,Credit card,Yes,No,No,No,No internet service,Yes,No,No,No,4,0,Yes
CUST_000005,41,Other,Germany,1,108.89,111.52,Month-to-month,Electronic check,No,No,No,Yes,Yes,Yes,No internet service,No,Yes,0,7,Yes
CUST_000006,41,Male,Canada,4,48.92,283.88,Month-to-month,Credit card,Yes,No,No,No,No,No internet service,No,Yes,No,2,65,Yes
CUST_000007,68,Other,USA,28,55.69,1598.38,Month-to-month,Electronic check,Yes,Yes,No,No,Yes,No internet service,No internet service,No,No,1,5,Yes
CUST_000008,56,Female,UK,10,65.72,552.42,Month-to-month,Credit card,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No internet service,1,11,Yes
CUST_000009,37,Other,USA,41,82.36,3339.06,One year,Mailed check,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,1,28,Yes
CUST_000010,53,Other,UK,14,29.31,417.65,Month-to-month,Electronic check,No,Yes,DSL,Yes,No,No,No,No,No,1,5,Yes
CUST_000011,38,Other,USA,1,18.25,0.0,Two year,Bank transfer,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,4,31,Yes
CUST_000012,38,Female,USA,25,70.39,1697.97,One year,Credit card,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,1,36,Yes
CUST_000013,48,Male,France,2,94.15,0.0,One year,Mailed check,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,1,7,Yes
CUST_000014,18,Other,Germany,31,57.2,1696.41,Two year,Bank transfer,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No,2,3,No
CUST_000015,19,Male,UK,3,49.74,174.33,One year,Credit card,Yes,Yes,No,Yes,No,No,Yes,Yes,No,1,15,Yes
CUST_000016,36,Female,USA,8,60.83,574.12,Two year,Electronic check,Yes,No,No,No internet service,No internet service,Yes,No,No,No,1,35,Yes
CUST_000017,29,Male,USA,28,104.94,2945.9,Month-to-month,Credit card,Yes,Yes,DSL,No internet service,No,No internet service,No,Yes,Yes,0,50,Yes
CUST_000018,49,Other,USA,61,48.39,3057.49,Month-to-month,Electronic check,No,No,DSL,No,No,No,No,Yes,No,0,1,Yes
CUST_000019,31,Other,France,9,79.26,705.46,Month-to-month,Mailed check,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,0,23,Yes
CUST_000020,23,Other,Australia,35,36.16,1177.85,Month-to-month,Electronic check,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,Yes,2,8,Yes
CUST_000021,66,Other,UK,4,37.36,102.03,Month-to-month,Mailed check,Yes,No,DSL,No,No,Yes,Yes,No internet service,Yes,3,16,Yes
CUST_000022,41,Other,USA,32,86.13,2805.94,One year,Electronic check,Yes,No,No,Yes,No,No,No,No internet service,No internet service,1,22,Yes
CUST_000023,46,Other,France,21,105.86,2196.24,Month-to-month,Electronic check,Yes,No,DSL,No,No,No internet service,No,No,No,0,39,Yes
CUST_000024,23,Female,UK,4,87.23,284.65,One year,Mailed check,Yes,Yes,DSL,Yes,No,No,No,No,No internet service,0,1,Yes
CUST_000025,36,Female,Germany,7,18.25,0.0,Month-to-month,Bank transfer,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,1,5,Yes
CUST_000026,46,Female,USA,2,54.5,19.69,One year,Bank transfer,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,3,28,Yes
CUST_000027,27,Male,France,9,70.97,599.05,Month-to-month,Bank transfer,Yes,Yes,No,No,No,Yes,No,No,Yes,2,17,Yes
CUST_000028,50,Male,UK,4,66.49,207.83,Two year,Electronic check,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Yes,2,7,Yes
CUST_000029,35,Female,France,20,18.25,267.54,Month-to-month,Credit card,Yes,No,No,Yes,Yes,No,No,No,No,0,2,Yes
CUST_000030,40,Male,France,72,32.57,2500.79,Two year,Mailed check,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,3,73,No
CUST_000031,35,Male,USA,1,44.96,105.0,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,1,13,Yes
CUST_000032,72,Other,France,15,63.31,1168.86,One year,Bank transfer,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,2,15,Yes
CUST_000033,44,Other,France,17,18.25,149.73,Month-to-month,Bank transfer,Yes,Yes,DSL,No,Yes,No,No,No,Yes,0,1,Yes
CUST_000034,29,Male,USA,49,80.01,3951.59,Two year,Electronic check,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,0,40,Yes
CUST_000035,57,Male,USA,14,62.68,834.0,Two year,Electronic check,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,3,145,Yes
CUST_000036,26,Female,USA,15,38.92,585.76,Two year,Credit card,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,2,114,No
CUST_000037,48,Male,UK,12,69.84,1023.15,Month-to-month,Mailed check,Yes,Yes,DSL,No,Yes,No,No,No,No,0,11,Yes
CUST_000038,18,Other,USA,6,29.0,0.05,Two year,Mailed check,Yes,Yes,No,No internet service,No,No,Yes,Yes,No,2,97,Yes
CUST_000039,25,Male,Germany,1,63.7,6.43,Month-to-month,Credit card,Yes,No,Fiber optic,No,No,No,No,No,No internet service,3,15,Yes
CUST_000040,47,Female,USA,10,19.98,125.01,Month-to-month,Electronic check,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,0,14,Yes
CUST_000041,56,Other,Canada,1,23.63,0.0,Month-to-month,Bank transfer,Yes,No phone service,No,Yes,No,Yes,No,No internet service,No,2,53,Yes
